委員姓名,主題ID,直接發言次數,低相關發言次數,中相關發言次數,高相關發言次數,總發言次數,平均相關性,最大相關性,總相關性,基礎關心度,加權關心度,質量加分,最終關心度評分,直接參與率,低相關率,中相關率,高相關率
江啟臣,52,3,0,0,0,323,0.00020418758628197763,0.00866208877414465,0.06595259036907877,6.0,0.06595259036907877,0.0,6.065952590369079,0.009287925696594427,0.0,0.0,0.0
江啟臣,53,1,7,2,0,323,0.0015521364281245837,0.06287731975317001,0.5013400662842405,2.0,0.5013400662842405,0.0,2.5013400662842407,0.0030959752321981426,0.021671826625386997,0.006191950464396285,0.0
江啟臣,55,1,3,2,0,323,0.0006825372721315114,0.07437949627637863,0.2204595388984782,2.0,0.2204595388984782,0.0,2.2204595388984782,0.0030959752321981426,0.009287925696594427,0.006191950464396285,0.0
江啟臣,56,0,5,4,1,323,0.0032390673787719964,0.5833844542503357,1.0462187633433548,0.0,1.0462187633433548,0.5,1.5462187633433548,0.0,0.015479876160990712,0.01238390092879257,0.0030959752321981426
江啟臣,57,0,3,2,2,323,0.004460013350223342,0.6667431592941284,1.4405843121221396,0.0,1.4405843121221396,1.0,2.4405843121221396,0.0,0.009287925696594427,0.006191950464396285,0.006191950464396285
江啟臣,59,10,4,2,0,323,0.0009647082930600531,0.0799064114689827,0.31160077865839714,20.0,0.31160077865839714,0.0,20.3116007786584,0.030959752321981424,0.01238390092879257,0.006191950464396285,0.0
江啟臣,60,3,7,2,2,323,0.0019846716548262604,0.124692901968956,0.6410489445088821,6.0,0.6410489445088821,1.0,7.641048944508882,0.009287925696594427,0.021671826625386997,0.006191950464396285,0.006191950464396285
江啟臣,61,1,21,10,6,323,0.013670020187614802,0.6251100897789001,4.415416520599581,2.0,4.415416520599581,3.0,9.415416520599582,0.0030959752321981426,0.06501547987616099,0.030959752321981424,0.018575851393188854
江啟臣,62,3,3,2,2,323,0.0009431711035215463,0.10868633538484573,0.30464426643745945,6.0,0.30464426643745945,1.0,7.304644266437459,0.009287925696594427,0.009287925696594427,0.006191950464396285,0.006191950464396285
江啟臣,63,0,4,3,1,323,0.0025845932047606495,0.5311808586120605,0.8348236051376898,0.0,0.8348236051376898,0.5,1.3348236051376898,0.0,0.01238390092879257,0.009287925696594427,0.0030959752321981426
江啟臣,65,6,5,5,4,323,0.0035378447701951664,0.6242177486419678,1.1427238607730388,12.0,1.1427238607730388,2.0,15.142723860773039,0.018575851393188854,0.015479876160990712,0.015479876160990712,0.01238390092879257
江啟臣,66,0,6,5,2,323,0.003800423927074366,0.5806030035018921,1.2275369284450202,0.0,1.2275369284450202,1.0,2.22753692844502,0.0,0.018575851393188854,0.015479876160990712,0.006191950464396285
江啟臣,67,0,3,1,1,323,0.002281902361807311,0.5390247106552124,0.7370544628637614,0.0,0.7370544628637614,0.5,1.2370544628637614,0.0,0.009287925696594427,0.0030959752321981426,0.0030959752321981426
江啟臣,68,0,79,70,24,323,0.032278161616918766,0.4832717776298523,10.425846202264761,0.0,10.425846202264761,12.0,22.42584620226476,0.0,0.24458204334365324,0.21671826625386997,0.07430340557275542
江啟臣,69,1,10,7,6,323,0.008361272404576525,0.702916145324707,2.700690986678217,2.0,2.700690986678217,3.0,7.700690986678217,0.0030959752321981426,0.030959752321981424,0.021671826625386997,0.018575851393188854
江啟臣,70,1,5,2,0,323,0.0009758518601903634,0.06909117847681046,0.3152001508414874,2.0,0.3152001508414874,0.0,2.3152001508414872,0.0030959752321981426,0.015479876160990712,0.006191950464396285,0.0
江啟臣,71,0,8,5,3,323,0.0037780505242950525,0.6161504983901978,1.220310319347302,0.0,1.220310319347302,1.5,2.720310319347302,0.0,0.02476780185758514,0.015479876160990712,0.009287925696594427
