委員,政黨,度數中心性,加權度數中心性,介數中心性,特徵向量中心性,接近中心性,LeaderRank,核數,社區,會議數量,會議加權介數中心性,會議加權LeaderRank,會議加權特徵向量中心性,會議加權核數
高虹安,民眾黨,0.9487179487179488,0.021026856417571804,0.0,0.09965749574258966,0.2635135135135135,0.010113380880101244,100,0,307,0.0,0.05795068158619723,0.5710473947263028,573.0099782973574
江啟臣,國民黨,0.9914529914529916,0.021000647729017136,0.0,0.09415836414037017,0.271461716937355,0.01019184706482433,100,6,323,0.0,0.05891645383393033,0.5443053529620578,578.0743515792329
賴惠員,民進黨,1.0,0.020225619367472022,0.0,0.09137874131582747,0.26057906458797325,0.009884245448496,100,2,262,0.0,0.05507653813087171,0.509176421878317,557.2154032177765
賴士葆,國民黨,1.0,0.020165713793632786,0.0,0.10395255330118208,0.24173553719008264,0.00973735093901367,100,3,332,0.0,0.05655592172873627,0.6037712417705525,580.8142489980444
謝衣鳯,國民黨,0.9743589743589745,0.019169783628555488,0.0,0.09288094074201429,0.1924342105263158,0.009327338345108674,100,1,284,0.0,0.05272267907643168,0.5250085125974095,565.2489180268651
蔡壁如,民眾黨,0.9487179487179488,0.019023763792322353,0.0,0.09253801669774822,0.29770992366412213,0.009266234776703287,100,1,277,0.0,0.05214685847378986,0.5207688965873046,562.7621113690636
賴瑞隆,民進黨,1.0,0.018694283136206555,0.0,0.08953383705233355,0.30708661417322836,0.009127177629730126,100,1,259,0.0,0.05075332898865615,0.49786916305124856,556.0681631015527
林楚茵,民進黨,1.0,0.01861565707054256,0.0,0.09503994727718895,0.30077120822622105,0.009093652689763443,100,3,306,0.0,0.05207796442371203,0.5442793079951755,572.6847747587196
郭國文,民進黨,1.0,0.018443428545754755,0.0,0.09444796981057142,0.24528301886792453,0.009017868759659212,100,3,284,0.0,0.050973405593056374,0.5338661274525951,565.2489180268651
湯蕙禎,民進黨,0.982905982905983,0.018413475758835136,0.0,0.08339396421166974,0.29545454545454547,0.009183073019612695,100,4,302,0.0,0.052469625567549034,0.47649082909769164,571.3732805509369
呂玉玲,國民黨,0.982905982905983,0.01796792805340582,0.0,0.08376470699475355,0.29770992366412213,0.008832608238498584,100,1,245,0.0,0.04862643667994225,0.46115248301635087,550.5331535932362
吳怡玎,國民黨,1.0,0.01733517542972889,0.0,0.08239891191427784,0.31283422459893045,0.008602951037797167,100,0,271,0.0,0.04822644070392666,0.4619119906696006,560.5802066295997
陳以信,國民黨,1.0,0.0172640375607948,0.00545425026974143,0.07883655415309784,0.34615384615384615,0.008585271650257985,100,6,285,0.030849194859819497,0.048558226147523004,0.4458989046831772,565.5991810819852
溫玉霞,民進黨,0.982905982905983,0.01723782887224013,0.0,0.0752743552238945,0.18870967741935485,0.008623503207727746,100,6,267,0.0,0.048213894160799436,0.42085794002314353,559.0986980510856
蘇巧慧,民進黨,0.9914529914529916,0.017155458708211183,0.0015087453381464268,0.07650060370907773,0.30952380952380953,0.008563737572233172,100,2,234,0.008237124192676762,0.046754457596296296,0.41766158783336366,545.9585514144159
陳亭妃,民進黨,0.9914529914529916,0.01711801772456166,0.0,0.08313427366931597,0.31451612903225806,0.008444905644626152,100,1,249,0.0,0.046628216471837576,0.4590226429999925,552.1460917862246
賴品妤,民進黨,0.982905982905983,0.017095553134371947,0.0,0.07681989104709386,0.2154696132596685,0.00855645963172401,100,0,266,0.0,0.04780706759800587,0.4292118331913285,558.724865840025
鄭正鈐,國民黨,0.982905982905983,0.017095553134371947,0.0023451573836292482,0.07696734176040128,0.335243553008596,0.008523603742568206,100,0,249,0.012948694839944973,0.04706274494393472,0.42497216948180244,552.1460917862246
洪申翰,民進黨,1.0,0.016844698543920147,0.006810098348690654,0.07744527071987477,0.34310850439882695,0.008444306053027931,100,2,264,0.03799850887408876,0.04711694634383594,0.4321236869172627,557.9729825986223
何欣純,民進黨,0.9914529914529916,0.016256875100622643,0.0035991835150974917,0.07438746829670251,0.3371757925072046,0.008221732730488724,100,5,242,0.019770536194288937,0.04516248305929862,0.4086149339683339,549.3061443340548
張育美,國民黨,0.9658119658119659,0.016174504936593694,0.002230065353470103,0.07266025173180105,0.34513274336283184,0.00812763475950714,100,2,218,0.012017982152028974,0.04380040671273386,0.39157130848919947,538.9071729816501
莊瑞雄,民進黨,1.0,0.015845024280477897,7.613714510266233e-05,0.07490917014488158,0.2903225806451613,0.008091123523935045,100,4,271,0.0004268097653383827,0.04535723696913123,0.4199259807826956,560.5802066295997
萬美玲,國民黨,0.982905982905983,0.015837536083747994,0.0,0.07138413847055218,0.29396984924623115,0.007991383339421175,100,0,232,0.0,0.0435613378803691,0.38911768377763856,545.10384535657
邱泰源,民進黨,0.9572649572649574,0.015815071493558278,0.003027052187474357,0.07115901544981793,0.33815028901734107,0.007976173952977821,100,2,214,0.016257201591176808,0.04283714315082403,0.382169314418916,537.0638028127662
