委員,政黨,主題數量,主題1,主題1評分,主題1關鍵詞,主題2,主題2評分,主題2關鍵詞,主題3,主題3評分,主題3關鍵詞,主題4,主題4評分,主題4關鍵詞,主題5,主題5評分,主題5關鍵詞
陳超明,國民黨,125,8,32.01638310364385,"用水, 水庫, 自來水",69,22.396942819774747,"旅館, 防疫 旅館, 機師",58,18.119366941929872,"農民, 老農, 農保",24,18.013351941494932,"農田水利, 水利會, 台糖",11,17.89536440385172,"體育署, 選手, 體育"
許淑華,國民黨,73,13,20.728463855473347,"臺鐵, 鐵道局, 高鐵",78,20.06244877324641,"振興, 振興券, 抵用券",127,18.987519339316314,"5g, 4g, 基地",62,18.08529656124464,"機場, 民航局, 旅客",73,18.004046249173463,"觀光局, 旅遊, 旅客"
林思銘,民眾黨,175,30,24.22184926149077,"法官, 司法院, 國民法官",76,20.177865204577003,"法官, 司法院, 出境",39,18.68413830381379,"軍公教, 調薪, 退休金",9,18.296010040922127,"投票, 中選會, 不在籍",5,17.347644217453006,"捷運, 高鐵, 公路"
羅美玲,國民黨,166,9,30.156274186575335,"投票, 中選會, 不在籍",10,26.699905235641744,"消防, 消防設備, 消防署",41,25.518524086131634,"感染, 指揮中心, 檢疫",168,20.632048832684745,"紅色 供應鏈, 供應鏈, 紅色",143,20.56375319357209,"修憲, 公民權, 修憲 門檻"
陳瑩,民進黨,128,35,49.36934385951368,"原民會, 部落, 原住民 健康",24,32.52199372987025,"農田水利, 水利會, 台糖",16,27.83255505170012,"醫師, 護理, 物理治療師",168,26.284499473166324,"紅色 供應鏈, 供應鏈, 紅色",2,23.979299522958957,"高端, 萬劑, 施打"
張其祿,民眾黨,193,87,48.565929742770834,"總裁, 央行, 升息",12,47.06840907278708,"社會住宅, 房東, 租屋",17,46.44554086627623,"稅收, 稅率, 還稅於民",43,44.50407616867589,"校長, 學院, 校務",33,44.06405705713166,"凍結 凍結, 減列, 減列 凍結"
吳斯懷,國民黨,136,4,69.23468275370801,"退輔會, 教召, 軍人",159,33.38277179065477,"自殺, 兒童, 早療",68,27.12279831959645,"獵槍, 原民會, 保留地",31,25.428261786327475,"國軍, 中科院, 國防",45,24.03095312832252,"軍事, 戰爭, 國防"
林楚茵,民進黨,164,7,36.056082674564,"央行, 國發基金, 主權基金",17,34.280070181069775,"稅收, 稅率, 還稅於民",83,32.57739537094182,"pcr, 健身房, 試劑",87,27.362917295335503,"總裁, 央行, 升息",23,26.895660690579003,"數位發展部, 議價, 數發部"
陳歐珀,民進黨,128,5,53.17109713982242,"捷運, 高鐵, 公路",62,36.16316436552796,"機場, 民航局, 旅客",30,35.29332584269093,"法官, 司法院, 國民法官",78,29.937921125548385,"振興, 振興券, 抵用券",34,17.4710212205604,"大法官, 國民法官, 司法院"
李貴敏,國民黨,180,17,36.704716318731926,"稅收, 稅率, 還稅於民",154,35.04481104721614,"虛擬, 貨幣, p2p",7,31.586485678271963,"央行, 國發基金, 主權基金",28,30.854741074785785,"特別預算, 總預算, 預算法",87,30.65878014769025,"總裁, 央行, 升息"
吳琪銘,民進黨,144,9,30.88812898529761,"投票, 中選會, 不在籍",10,28.442052292589075,"消防, 消防設備, 消防署",41,23.88171857676127,"感染, 指揮中心, 檢疫",33,20.27629584953819,"凍結 凍結, 減列, 減列 凍結",94,17.226807901598864,"客家, 客委會, 客語"
陳素月,民進黨,116,161,33.35652776186023,"警械, 槍枝, 改造",78,32.74190347551776,"振興, 振興券, 抵用券",27,32.307798573628,"駕駛, 機車, 行人",13,32.018285972635425,"臺鐵, 鐵道局, 高鐵",7,31.777121614878187,"央行, 國發基金, 主權基金"
吳怡玎,國民黨,166,38,26.031731370021653,"原能會, 核能, 核廢料",1,21.53781185342712,"氣候變遷, 環保署, 減碳",0,20.83473039152212,"豬肉, 萊克多巴胺, 標示",33,20.36898643591082,"凍結 凍結, 減列, 減列 凍結",20,19.429866793534305,"施打, 接種, 施打 疫苗"
何欣純,民進黨,168,23,18.75113031050222,"數位發展部, 議價, 數發部",7,17.36242859392597,"央行, 國發基金, 主權基金",5,16.24282465568888,"捷運, 高鐵, 公路",46,16.000441310777525,"運安會, 事故, 臺鐵",8,15.354085015780818,"用水, 水庫, 自來水"
廖國棟,國民黨,125,24,52.05001432250101,"農田水利, 水利會, 台糖",35,36.72138818870288,"原民會, 部落, 原住民 健康",68,36.0442446459558,"獵槍, 原民會, 保留地",168,34.69957790876548,"紅色 供應鏈, 供應鏈, 紅色",158,16.98987997005227,"急難, 急難 紓困, 急難 救助"
蘇震清,民進黨,96,6,37.35448233851899,"農民, 農會, 肥料",71,24.958848159282564,"法官, 審判, 國民法官",105,22.23804867107214,"登山, 馬祖, 潮州",152,15.311931822501196,"公共工程, 流標, 發包",92,14.325908438151416,"社區治療, 公共衛生, 治療"
邱志偉,民進黨,178,3,31.56290644906092,"兩岸, 習近平, 陸委會",95,26.730742509732387,"cptpp, 談判, 核食",78,25.958814856669623,"振興, 振興券, 抵用券",32,23.931563352050205,"停電, 台電, 電網",6,21.644092196217663,"農民, 農會, 肥料"
黃國書,民進黨,146,14,38.09238198233571,"故宮, 博物館, 文物",11,35.34346054475995,"體育署, 選手, 體育",51,27.34021054162037,"停課, 家長, 冷氣",32,26.81866929122184,"停電, 台電, 電網",36,24.971219228821028,"監察委員, 人權委員會, 考試院"
徐志榮,國民黨,123,2,33.080388649477854,"高端, 萬劑, 施打",0,23.79688311269022,"豬肉, 萊克多巴胺, 標示",21,20.336852127063302,"總統府, 秘書長 秘書長, 發言人",15,19.03086751219897,"雇主, 職災, 移工",158,17.394068978370125,"急難, 急難 紓困, 急難 救助"
莊競程,民進黨,139,2,31.061045767143845,"高端, 萬劑, 施打",16,20.807217032036228,"醫師, 護理, 物理治療師",15,20.76906480691324,"雇主, 職災, 移工",51,20.25855747675044,"停課, 家長, 冷氣",1,18.103861600202624,"氣候變遷, 環保署, 減碳"
謝衣鳯,國民黨,157,6,40.153346804572806,"農民, 農會, 肥料",0,35.57203698573243,"豬肉, 萊克多巴胺, 標示",1,26.205488012640945,"氣候變遷, 環保署, 減碳",23,22.39392687430588,"數位發展部, 議價, 數發部",24,22.017104430245013,"農田水利, 水利會, 台糖"
陳以信,國民黨,167,4,56.31431155303067,"退輔會, 教召, 軍人",47,42.55896753885559,"拜登, 川普, 兩岸",124,34.81547324810679,"黨產會, 政治獻金, 行政中立",159,27.99061285673512,"自殺, 兒童, 早療",0,27.71260820592096,"豬肉, 萊克多巴胺, 標示"
李昆澤,民進黨,99,13,60.009504520904414,"臺鐵, 鐵道局, 高鐵",78,51.23333265671547,"振興, 振興券, 抵用券",161,37.48601966505805,"警械, 槍枝, 改造",7,35.381796008645104,"央行, 國發基金, 主權基金",27,32.01398103623756,"駕駛, 機車, 行人"
林宜瑾,民進黨,134,19,41.72483929614443,"教師, 私校, 私立學校",14,41.36845157064968,"故宮, 博物館, 文物",11,33.01912095118727,"體育署, 選手, 體育",32,29.033496284538693,"停電, 台電, 電網",50,28.68575945248528,"課綱, 學習歷程檔案, 學習歷程"
費鴻泰,國民黨,144,17,38.04279778546656,"稅收, 稅率, 還稅於民",87,30.96961059224256,"總裁, 央行, 升息",56,22.722566053201167,"客戶, 理專, 行庫",83,21.321691652095524,"pcr, 健身房, 試劑",53,20.2112486611707,"股市, 國安基金, 升息"
林岱樺,民進黨,109,48,24.221335188806137,"再生能源, 能源, 發電",6,20.869859051637675,"農民, 農會, 肥料",3,18.33422142685604,"兩岸, 習近平, 陸委會",152,17.262421455288678,"公共工程, 流標, 發包",122,16.515317445951606,"動物, 寵物, 動保法"
何志偉,民進黨,158,4,42.80490648585347,"退輔會, 教召, 軍人",31,35.747384901425534,"國軍, 中科院, 國防",68,24.951474247702816,"獵槍, 原民會, 保留地",159,20.84565590876242,"自殺, 兒童, 早療",3,20.092428813964585,"兩岸, 習近平, 陸委會"
王美惠,民進黨,157,9,33.90112477041908,"投票, 中選會, 不在籍",33,25.530119701449507,"凍結 凍結, 減列, 減列 凍結",12,25.3928706899115,"社會住宅, 房東, 租屋",10,25.34362422063565,"消防, 消防設備, 消防署",143,21.51976798728916,"修憲, 公民權, 修憲 門檻"
林昶佐,時代力量,139,4,52.67805283138223,"退輔會, 教召, 軍人",3,40.002047975776826,"兩岸, 習近平, 陸委會",159,24.654687254994464,"自殺, 兒童, 早療",59,21.76050947231709,"wha, 宏都拉斯, 巴拉圭",31,21.702323338931475,"國軍, 中科院, 國防"
陳玉珍,國民黨,168,2,23.932551956710704,"高端, 萬劑, 施打",41,21.859401428826224,"感染, 指揮中心, 檢疫",21,19.773802617457584,"總統府, 秘書長 秘書長, 發言人",10,18.790076877099,"消防, 消防設備, 消防署",34,17.037926426425138,"大法官, 國民法官, 司法院"
傅崐萁,國民黨,106,13,15.551091420757343,"臺鐵, 鐵道局, 高鐵",106,15.271744509525837,"蘇貞昌 蘇貞昌, 旁聽, 除罪化",78,15.001821937570078,"振興, 振興券, 抵用券",107,14.0334272734086,"地震, 災害, 防災",101,12.02514269199139,"公司化, 臺鐵, 工會"
許智傑,民進黨,132,5,25.74395398936982,"捷運, 高鐵, 公路",73,23.37301403996428,"觀光局, 旅遊, 旅客",30,21.842583212065858,"法官, 司法院, 國民法官",127,21.68731850723518,"5g, 4g, 基地",44,21.379912336060844,"ncc, 鏡電視, 頻道"
湯蕙禎,民進黨,168,9,30.439476535143072,"投票, 中選會, 不在籍",41,28.86756884451612,"感染, 指揮中心, 檢疫",4,27.372668432521134,"退輔會, 教召, 軍人",1,24.205885240982003,"氣候變遷, 環保署, 減碳",10,23.23744424465692,"消防, 消防設備, 消防署"
楊曜,民進黨,103,16,38.12173235968356,"醫師, 護理, 物理治療師",2,29.69037048884882,"高端, 萬劑, 施打",18,22.0455918503172,"廢棄物, 環保署, 垃圾",144,20.04044090536353,"檢疫, 澎湖, 居家 檢疫",15,18.145961464804216,"雇主, 職災, 移工"
黃秀芳,民進黨,123,18,34.00023958747653,"廢棄物, 環保署, 垃圾",2,26.28805234213968,"高端, 萬劑, 施打",53,21.83817842756653,"股市, 國安基金, 升息",67,18.316000277742518,"移工, 印尼, 看護",158,17.257815090812507,"急難, 急難 紓困, 急難 救助"
陳明文,民進黨,148,81,30.746152327866277,"國土, 國土計畫法, 徵收",6,29.54435823877516,"農民, 農會, 肥料",88,23.41825332157368,"鳳梨, 外銷, 農產品",11,22.244436620645747,"體育署, 選手, 體育",24,20.0314625303311,"農田水利, 水利會, 台糖"
邱顯智,時代力量,198,12,67.11039792983516,"社會住宅, 房東, 租屋",27,64.95418970650032,"駕駛, 機車, 行人",7,56.94720932914976,"央行, 國發基金, 主權基金",33,48.23581347724983,"凍結 凍結, 減列, 減列 凍結",30,45.45123044009446,"法官, 司法院, 國民法官"
溫玉霞,民進黨,153,4,59.62434914100169,"退輔會, 教召, 軍人",3,34.05768048971404,"兩岸, 習近平, 陸委會",47,29.12248270283412,"拜登, 川普, 兩岸",31,28.60232589136343,"國軍, 中科院, 國防",26,27.949385049817558,"中科院, 飛彈, 國防"
趙天麟,民進黨,124,3,55.45151057747509,"兩岸, 習近平, 陸委會",4,53.959575364768185,"退輔會, 教召, 軍人",31,28.28267903541289,"國軍, 中科院, 國防",26,25.23692096196701,"中科院, 飛彈, 國防",68,22.17677801263489,"獵槍, 原民會, 保留地"
林文瑞,國民黨,120,9,31.60419215947121,"投票, 中選會, 不在籍",24,21.9446239872488,"農田水利, 水利會, 台糖",143,16.930567639186336,"修憲, 公民權, 修憲 門檻",64,16.069273107895462,"海洋, 海委會, 保育",68,14.805429723785698,"獵槍, 原民會, 保留地"
蔡適應,民進黨,127,4,61.9337327717615,"退輔會, 教召, 軍人",31,39.91121586672178,"國軍, 中科院, 國防",68,30.60577270394809,"獵槍, 原民會, 保留地",159,30.108501210565663,"自殺, 兒童, 早療",26,26.14981199586737,"中科院, 飛彈, 國防"
羅致政,民進黨,145,31,40.461156258130174,"國軍, 中科院, 國防",4,39.42908172145552,"退輔會, 教召, 軍人",68,26.36716057775469,"獵槍, 原民會, 保留地",159,20.114829727112152,"自殺, 兒童, 早療",3,20.00001691734982,"兩岸, 習近平, 陸委會"
羅明才,國民黨,126,17,44.72485618727439,"稅收, 稅率, 還稅於民",7,44.278564337885605,"央行, 國發基金, 主權基金",53,40.114076119038025,"股市, 國安基金, 升息",83,35.291591569468935,"pcr, 健身房, 試劑",128,30.313083825981057,"老人, 高齡, 住宿"
