委員ID,原始姓名,政黨,選區,八選區,原籍,七原籍,成長,七成長,大學學歷,最高學歷,前職業,任期起,任期迄,下任,性別,委員會,英文名
立委21,廖婉汝,國民黨,不分區,不分區,屏東,南高屏,高雄,南高屏,臺灣師範大學教育系,政治大學EMBA經營管理碩士,,2020/2/1,2024/1/31,,女,第10屆第1會期：社會福利及衛生環境委員會;第10屆第2會期：社會福利及衛生環境委員會;第10屆第2會期：修憲委員會;第10屆第3會期：外交及國防委員會;第10屆第3會期：紀律委員會;第10屆第3會期：經費稽核委員會;第10屆第3會期：修憲委員會;第10屆第4會期：經費稽核委員會;第10屆第4會期：外交及國防委員會;第10屆第5會期：外交及國防委員會;第10屆第6會期：外交及國防委員會;第10屆第7會期：外交及國防委員會;第10屆第8會期：外交及國防委員會;,LiaoWan-Ju
立委59,管碧玲,民進黨,不分區,不分區,高雄,南高屏,臺中,中彰投,中興大學法商學院公共行政學系,臺灣大學政治學博士,教授,2020/2/1,2023/1/31,辭職,女,第10屆第1會期：內政委員會;第10屆第1會期：程序委員會;第10屆第1會期：紀律委員會;第10屆第2會期：程序委員會;第10屆第2會期：內政委員會;第10屆第2會期：修憲委員會;第10屆第3會期：內政委員會;第10屆第3會期：程序委員會;第10屆第3會期：修憲委員會;第10屆第4會期：程序委員會;第10屆第4會期：內政委員會;第10屆第5會期：內政委員會;第10屆第5會期：程序委員會;第10屆第6會期：程序委員會;第10屆第6會期：內政委員會;,Kuan Bi-Ling
立委85,趙天麟,民進黨,高雄,南高屏,高雄,南高屏,臺北,基北桃,世新大學口語傳播學系,中山大學公共政策碩士,電臺主持人,2020/2/1,2024/1/31,黃捷,男,第10屆第1會期：外交及國防委員會;第10屆第2會期：外交及國防委員會;第10屆第2會期：修憲委員會;第10屆第3會期：外交及國防委員會;第10屆第3會期：紀律委員會;第10屆第3會期：修憲委員會;第10屆第4會期：外交及國防委員會;第10屆第5會期：外交及國防委員會;第10屆第6會期：外交及國防委員會;第10屆第7會期：外交及國防委員會;第10屆第8會期：外交及國防委員會;,Chao Tien-Lin
立委86,趙正宇,民進黨,桃園,基北桃,桃園,基北桃,桃園,基北桃,陸軍軍官學校,銘傳大學公共事務學碩士,陸軍上尉,2020/2/1,2024/1/31,邱若華,男,第10屆第1會期：交通委員會;第10屆第2會期：交通委員會;第10屆第3會期：交通委員會;第10屆第4會期：交通委員會;第10屆第5會期：交通委員會;第10屆第6會期：交通委員會;第10屆第7會期：交通委員會;第10屆第8會期：交通委員會;,Chao Cheng-Yu
立委6,劉世芳,民進黨,高雄,南高屏,高雄,南高屏,臺北,基北桃,淡江大學化學工程系,奧克拉荷馬州州立大學環境工程碩士,研究員,2020/2/1,2024/1/31,李柏毅,女,第10屆第1會期：司法及法制委員會;第10屆第2會期：司法及法制委員會;第10屆第2會期：修憲委員會;第10屆第3會期：司法及法制委員會;第10屆第3會期：修憲委員會;第10屆第4會期：司法及法制委員會;第10屆第5會期：交通委員會;第10屆第6會期：交通委員會;第10屆第6會期：紀律委員會;第10屆第7會期：外交及國防委員會;第10屆第8會期：外交及國防委員會;,Liu Shyh-Fang
立委7,劉建國,民進黨,雲林,雲嘉,雲林,雲嘉,雲林,雲嘉,稻江科技暨管理學院老人福祉與社會工作學系,南華大學旅遊管理學系暨旅遊管理碩士,,2020/2/1,2024/1/31,連任,男,第10屆第1會期：社會福利及衛生環境委員會;第10屆第1會期：紀律委員會;第10屆第2會期：社會福利及衛生環境委員會;第10屆第3會期：外交及國防委員會;第10屆第4會期：外交及國防委員會;第10屆第5會期：司法及法制委員會;第10屆第6會期：司法及法制委員會;第10屆第7會期：司法及法制委員會;第10屆第8會期：司法及法制委員會;,Liu  Chien-Kuo
立委8,劉櫂豪,民進黨,臺東,宜花東,臺東,宜花東,臺東,宜花東,政治大學法律學系,政治大學法律學系,法官,2020/2/1,2024/1/31,黃建賓,男,第10屆第1會期：交通委員會;第10屆第2會期：交通委員會;第10屆第2會期：紀律委員會;第10屆第3會期：交通委員會;第10屆第4會期：交通委員會;第10屆第5會期：交通委員會;第10屆第6會期：交通委員會;第10屆第7會期：交通委員會;第10屆第8會期：交通委員會;,Liu Chao-Hao
立委70,蔡易餘,民進黨,嘉義,雲嘉,嘉義,雲嘉,嘉義,雲嘉,臺灣大學法律學系財經法律組,臺灣大學法律學系財經法學組,律師,2020/2/1,2024/1/31,連任,男,第10屆第1會期：司法及法制委員會;第10屆第2會期：修憲委員會;第10屆第2會期：紀律委員會;第10屆第3會期：經濟委員會;第10屆第3會期：修憲委員會;第10屆第4會期：經濟委員會;第10屆第5會期：交通委員會;第10屆第6會期：交通委員會;第10屆第7會期：經濟委員會;第10屆第8會期：經濟委員會;,Tsai Yi-Yu
立委68,蔡培慧,民進黨,南投,中彰投,南投,中彰投,新北,基北桃,致理商業專科學校,臺灣大學生物產業傳播暨發展學系博士,教授,2023/3/13,2024/1/31,游顥,女,第10屆第7會期：交通委員會;第10屆第8會期：交通委員會;,Tsai Pei-Hui
立委71,蔡適應,民進黨,基隆,基北桃,基隆,基北桃,高雄,南高屏,東海大學政治學系國際關係組,臺北大學都市計劃研究所博士,,2020/2/1,2024/1/31,林沛祥,男,第10屆第1會期：外交及國防委員會;第10屆第1會期：紀律委員會;第10屆第2會期：外交及國防委員會;第10屆第3會期：外交及國防委員會;第10屆第4會期：外交及國防委員會;第10屆第5會期：外交及國防委員會;第10屆第6會期：外交及國防委員會;第10屆第7會期：外交及國防委員會;第10屆第8會期：外交及國防委員會;,Tsai Shih-Ying
