委員ID,原始姓名,政黨,選區,八選區,原籍,七原籍,成長,七成長,大學學歷,最高學歷,前職業,任期起,任期迄,下任,性別,委員會,英文名
立委19,孔文吉,國民黨,原住民,原住民,南投,中彰投,南投,中彰投,臺灣大學外文系,羅芙堡大學社會學系媒體研究組博士,教授,2020/2/1,2024/1/31,盧縣一,男,第10屆第1會期：經濟委員會;第10屆第2會期：經濟委員會;第10屆第3會期：經濟委員會;第10屆第3會期：紀律委員會;第10屆第4會期：經濟委員會;第10屆第5會期：經濟委員會;第10屆第6會期：經濟委員會;第10屆第7會期：經濟委員會;第10屆第8會期：經濟委員會;,Kung Wen-Chi
立委56,王定宇,民進黨,臺南,南高屏,臺南,南高屏,桃園,基北桃,成功大學外文系,臺北大學企管博士,行銷顧問,2020/2/1,2024/1/31,連任,男,第10屆第1會期：外交及國防委員會;第10屆第2會期：外交及國防委員會;第10屆第2會期：修憲委員會;第10屆第2會期：紀律委員會;第10屆第3會期：外交及國防委員會;第10屆第3會期：修憲委員會;第10屆第4會期：外交及國防委員會;第10屆第5會期：外交及國防委員會;第10屆第6會期：外交及國防委員會;第10屆第6會期：紀律委員會;第10屆第7會期：外交及國防委員會;第10屆第8會期：外交及國防委員會;,Wang Ting-Yu
立委57,王美惠,民進黨,嘉義,雲嘉,嘉義,雲嘉,嘉義,雲嘉,大同技術學院,嘉義大學管理碩士,,2020/2/1,2024/1/31,連任,女,第10屆第1會期：內政委員會;第10屆第2會期：內政委員會;第10屆第3會期：內政委員會;第10屆第3會期：經費稽核委員會;第10屆第4會期：經費稽核委員會;第10屆第4會期：內政委員會;第10屆第5會期：內政委員會;第10屆第5會期：經費稽核委員會;第10屆第6會期：經費稽核委員會;第10屆第6會期：內政委員會;第10屆第6會期：紀律委員會;第10屆第7會期：內政委員會;第10屆第7會期：經費稽核委員會;第10屆第8會期：內政委員會;第10屆第8會期：經費稽核委員會;,WangMei-Hui
立委55,王婉諭,時代力量,不分區,不分區,新竹,竹苗,臺中,中彰投,臺灣大學地質系,美國南加州大學材料科學系碩士,研發工程師,2020/2/1,2024/1/31,,女,第10屆第1會期：社會福利及衛生環境委員會;第10屆第1會期：經費稽核委員會;第10屆第2會期：社會福利及衛生環境委員會;第10屆第2會期：經費稽核委員會;第10屆第3會期：教育及文化委員會;第10屆第4會期：教育及文化委員會;第10屆第5會期：教育及文化委員會;第10屆第6會期：教育及文化委員會;第10屆第7會期：社會福利及衛生環境委員會;第10屆第8會期：社會福利及衛生環境委員會;,WangWan-Yu
立委58,王鴻薇,國民黨,臺北,基北桃,臺北,基北桃,臺北,基北桃,政治大學新聞學系,政治大學新聞學系,報社主任,2023/1/16,2024/1/31,連任,女,第10屆第7會期：司法及法制委員會;第10屆第8會期：司法及法制委員會;,wang hung wei
立委1,伍麗華,民進黨,原住民,原住民,屏東,南高屏,屏東,南高屏,臺灣省立屏東師範專科學校,屏東大學教育行政研究所博士班,國小校長,2020/2/1,2024/1/31,連任,女,第10屆第1會期：教育及文化委員會;第10屆第2會期：教育及文化委員會;第10屆第2會期：修憲委員會;第10屆第3會期：內政委員會;第10屆第3會期：修憲委員會;第10屆第4會期：內政委員會;第10屆第5會期：內政委員會;第10屆第6會期：內政委員會;第10屆第7會期：內政委員會;第10屆第8會期：內政委員會;,WuLi-Hua
立委48,江永昌,民進黨,新北,基北桃,新北,基北桃,新北,基北桃,中興大學物理學系,臺灣科技大學財務金融碩士,國中教師,2020/2/1,2024/1/31,張智倫,男,第10屆第1會期：財政委員會;第10屆第2會期：財政委員會;第10屆第2會期：司法及法制委員會;第10屆第3會期：司法及法制委員會;第10屆第4會期：司法及法制委員會;第10屆第5會期：司法及法制委員會;第10屆第6會期：司法及法制委員會;第10屆第7會期：司法及法制委員會;第10屆第8會期：司法及法制委員會;,Chiang Yung-Chang
立委47,江啟臣,國民黨,臺中,中彰投,臺中,中彰投,臺中,中彰投,政治大學外交學系,美國南卡羅萊納大學國際關係博士,教授,2020/2/1,2024/1/31,連任,男,第10屆第1會期：外交及國防委員會;第10屆第2會期：外交及國防委員會;第10屆第3會期：外交及國防委員會;第10屆第4會期：外交及國防委員會;第10屆第5會期：外交及國防委員會;第10屆第5會期：紀律委員會;第10屆第6會期：外交及國防委員會;第10屆第7會期：外交及國防委員會;第10屆第8會期：外交及國防委員會;,Chiang Chi-Chen
立委2,何志偉,民進黨,臺北,基北桃,臺北,基北桃,臺北,基北桃,加州州立大學富勒頓分校財金系,政治大學資訊管理學系博士班,,2020/2/1,2024/1/31,王世堅,男,第10屆第1會期：外交及國防委員會;第10屆第2會期：外交及國防委員會;第10屆第2會期：修憲委員會;第10屆第2會期：司法及法制委員會;第10屆第3會期：司法及法制委員會;第10屆第3會期：修憲委員會;第10屆第4會期：司法及法制委員會;第10屆第5會期：外交及國防委員會;第10屆第6會期：外交及國防委員會;第10屆第7會期：外交及國防委員會;第10屆第8會期：外交及國防委員會;,Ho Mark Chih Wei
立委3,何欣純,民進黨,臺中,中彰投,臺中,中彰投,臺中,中彰投,成功大學歷史系,,,2020/2/1,2024/1/31,連任,女,第10屆第1會期：交通委員會;第10屆第1會期：經費稽核委員會;第10屆第2會期：經費稽核委員會;第10屆第3會期：經濟委員會;第10屆第3會期：經費稽核委員會;第10屆第4會期：經費稽核委員會;第10屆第4會期：經濟委員會;第10屆第5會期：教育及文化委員會;第10屆第5會期：經費稽核委員會;第10屆第6會期：經費稽核委員會;第10屆第6會期：教育及文化委員會;第10屆第7會期：交通委員會;第10屆第8會期：交通委員會;,Ho Hsin-Chun
立委4,余天,民進黨,新北,基北桃,新北,基北桃,新竹,竹苗,,,歌手,2020/2/1,2024/1/31,李坤城,男,第10屆第1會期：財政委員會;第10屆第2會期：財政委員會;第10屆第3會期：財政委員會;第10屆第4會期：財政委員會;第10屆第5會期：財政委員會;第10屆第6會期：財政委員會;第10屆第7會期：財政委員會;第10屆第8會期：財政委員會;,YuTien
立委13,吳玉琴,民進黨,不分區,不分區,嘉義,雲嘉,嘉義,雲嘉,政治大學社會學系,東海大學社會工作所碩士,講師,2020/2/1,2024/1/31,,女,第10屆第1會期：司法及法制委員會;第10屆第1會期：程序委員會;第10屆第2會期：程序委員會;第10屆第3會期：社會福利及衛生環境委員會;第10屆第3會期：程序委員會;第10屆第4會期：程序委員會;第10屆第4會期：社會福利及衛生環境委員會;第10屆第5會期：社會福利及衛生環境委員會;第10屆第5會期：程序委員會;第10屆第6會期：程序委員會;第10屆第6會期：社會福利及衛生環境委員會;第10屆第7會期：社會福利及衛生環境委員會;第10屆第7會期：程序委員會;第10屆第8會期：程序委員會;第10屆第8會期：社會福利及衛生環境委員會;,Wu Yu-Chin
立委10,吳怡玎,國民黨,不分區,不分區,臺北,基北桃,高雄,南高屏,台灣大學工商管理學系,英國倫敦帝國理工學院統計博士,企業高階主管,2020/2/1,2024/1/31,,女,第10屆第1會期：司法及法制委員會;第10屆第2會期：修憲委員會;第10屆第3會期：內政委員會;第10屆第3會期：修憲委員會;第10屆第4會期：內政委員會;第10屆第5會期：教育及文化委員會;第10屆第5會期：程序委員會;第10屆第6會期：程序委員會;第10屆第6會期：教育及文化委員會;第10屆第7會期：司法及法制委員會;第10屆第7會期：程序委員會;第10屆第8會期：程序委員會;第10屆第8會期：司法及法制委員會;,WuI-Ding
立委12,吳欣盈,民眾黨,不分區,不分區,臺北,基北桃,臺北,基北桃,衛斯理學院國際關係、美術史,科陶德藝術學院文學碩士,企業高階主管,2022/11/2,2024/1/31,,女,第10屆第6會期：程序委員會;第10屆第6會期：社會福利及衛生環境委員會;第10屆第7會期：社會福利及衛生環境委員會;第10屆第7會期：經費稽核委員會;第10屆第8會期：社會福利及衛生環境委員會;第10屆第8會期：經費稽核委員會;,WU HSIN-YING
立委16,吳秉叡,民進黨,新北,基北桃,新北,基北桃,臺北,基北桃,政治大學法律系法學組,政治大學法律研究所碩士,法官,2020/2/1,2024/1/31,連任,男,第10屆第1會期：財政委員會;第10屆第2會期：財政委員會;第10屆第2會期：紀律委員會;第10屆第3會期：財政委員會;第10屆第4會期：財政委員會;第10屆第5會期：財政委員會;第10屆第6會期：財政委員會;第10屆第7會期：財政委員會;第10屆第8會期：財政委員會;,WuPing-Jui
立委9,吳思瑤,民進黨,臺北,基北桃,臺北,基北桃,新北,基北桃,輔仁大學西語系、日語系,台灣大學政治學研究所碩士,,2020/2/1,2024/1/31,連任,女,第10屆第1會期：教育及文化委員會;第10屆第2會期：教育及文化委員會;第10屆第2會期：修憲委員會;第10屆第2會期：紀律委員會;第10屆第3會期：教育及文化委員會;第10屆第3會期：修憲委員會;第10屆第4會期：教育及文化委員會;第10屆第5會期：教育及文化委員會;第10屆第6會期：教育及文化委員會;第10屆第7會期：教育及文化委員會;第10屆第8會期：教育及文化委員會;,WuSzu-Yao
立委11,吳斯懷,國民黨,不分區,不分區,新北,基北桃,新北,基北桃,陸軍官校,國防大學戰爭學院,陸軍副司令,2020/2/1,2024/1/31,,男,第10屆第1會期：社會福利及衛生環境委員會;第10屆第2會期：社會福利及衛生環境委員會;第10屆第2會期：司法及法制委員會;第10屆第3會期：司法及法制委員會;第10屆第4會期：司法及法制委員會;第10屆第5會期：外交及國防委員會;第10屆第5會期：程序委員會;第10屆第6會期：程序委員會;第10屆第6會期：外交及國防委員會;第10屆第7會期：外交及國防委員會;第10屆第7會期：程序委員會;第10屆第8會期：程序委員會;第10屆第8會期：外交及國防委員會;,WuSz-Huai
立委14,吳琪銘,民進黨,新北,基北桃,新北,基北桃,雲林,雲嘉,德霖技術學院企業管理學系,世新大學企業管理學碩士,,2020/2/1,2024/1/31,連任,男,第10屆第1會期：內政委員會;第10屆第2會期：內政委員會;第10屆第3會期：內政委員會;第10屆第4會期：內政委員會;第10屆第5會期：內政委員會;第10屆第6會期：內政委員會;第10屆第7會期：司法及法制委員會;第10屆第8會期：司法及法制委員會;,Wu Chi-Ming
立委17,呂玉玲,國民黨,桃園,基北桃,桃園,基北桃,桃園,基北桃,創新技術學院企業管理系,中原大學商學院企業管理學系碩士,公務人員,2020/2/1,2024/1/31,連任,女,第10屆第1會期：外交及國防委員會;第10屆第1會期：紀律委員會;第10屆第2會期：外交及國防委員會;第10屆第2會期：紀律委員會;第10屆第3會期：經濟委員會;第10屆第4會期：經濟委員會;第10屆第5會期：經濟委員會;第10屆第6會期：經濟委員會;第10屆第7會期：經濟委員會;第10屆第8會期：經濟委員會;,Lu Yu-Ling
立委29,李昆澤,民進黨,高雄,南高屏,高雄,南高屏,高雄,南高屏,輔仁大學歷史系,國立中山大學政治學碩士,電器維修工,2020/2/1,2024/1/31,連任,男,第10屆第1會期：交通委員會;第10屆第1會期：紀律委員會;第10屆第2會期：交通委員會;第10屆第3會期：交通委員會;第10屆第4會期：交通委員會;第10屆第5會期：交通委員會;第10屆第6會期：交通委員會;第10屆第7會期：交通委員會;第10屆第8會期：交通委員會;,LeeKun-Tse
立委30,李貴敏,國民黨,不分區,不分區,臺北,基北桃,臺北,基北桃,國立政治大學法律學系學士,太平洋大學法學博士,教授,2020/2/1,2024/1/31,,女,第10屆第1會期：司法及法制委員會;第10屆第1會期：紀律委員會;第10屆第2會期：修憲委員會;第10屆第2會期：紀律委員會;第10屆第3會期：財政委員會;第10屆第3會期：經費稽核委員會;第10屆第3會期：修憲委員會;第10屆第4會期：經費稽核委員會;第10屆第4會期：財政委員會;第10屆第5會期：財政委員會;第10屆第6會期：財政委員會;第10屆第7會期：財政委員會;第10屆第8會期：財政委員會;,Lee Guei-Min
立委28,李德維,國民黨,不分區,不分區,臺北,基北桃,新北,基北桃,東吳大學歷史系,美國北愛荷華州立大學政治學碩士,講師,2020/2/1,2024/1/31,,男,第10屆第1會期：教育及文化委員會;第10屆第1會期：程序委員會;第10屆第2會期：程序委員會;第10屆第2會期：教育及文化委員會;第10屆第2會期：修憲委員會;第10屆第3會期：教育及文化委員會;第10屆第3會期：程序委員會;第10屆第4會期：程序委員會;第10屆第4會期：教育及文化委員會;第10屆第5會期：內政委員會;第10屆第5會期：程序委員會;第10屆第5會期：經費稽核委員會;第10屆第6會期：程序委員會;第10屆第6會期：經費稽核委員會;第10屆第6會期：內政委員會;第10屆第7會期：程序委員會;第10屆第7會期：內政委員會;第10屆第7會期：經費稽核委員會;第10屆第8會期：程序委員會;第10屆第8會期：內政委員會;第10屆第8會期：經費稽核委員會;,LeeDe-Wei
立委49,沈發惠,民進黨,不分區,不分區,新北,基北桃,新北,基北桃,東海大學法律系,台灣大學政治學研究所碩士,講師,2020/2/1,2024/1/31,連任,男,第10屆第1會期：內政委員會;第10屆第1會期：程序委員會;第10屆第2會期：程序委員會;第10屆第2會期：內政委員會;第10屆第2會期：紀律委員會;第10屆第3會期：財政委員會;第10屆第3會期：程序委員會;第10屆第4會期：程序委員會;第10屆第4會期：財政委員會;第10屆第5會期：財政委員會;第10屆第5會期：程序委員會;第10屆第5會期：紀律委員會;第10屆第6會期：程序委員會;第10屆第6會期：財政委員會;第10屆第7會期：程序委員會;第10屆第7會期：財政委員會;第10屆第8會期：程序委員會;第10屆第8會期：財政委員會;,ShenFa-Hui
立委18,周春米,民進黨,不分區,不分區,屏東,南高屏,屏東,南高屏,臺灣大學法律系法學組,臺灣大學法律系法學組,法官,2020/2/1,2022/12/25,辭職,女,第10屆第1會期：司法及法制委員會;第10屆第1會期：程序委員會;第10屆第1會期：紀律委員會;第10屆第2會期：程序委員會;第10屆第2會期：修憲委員會;第10屆第3會期：教育及文化委員會;第10屆第3會期：程序委員會;第10屆第3會期：修憲委員會;第10屆第4會期：程序委員會;第10屆第4會期：教育及文化委員會;第10屆第5會期：司法及法制委員會;第10屆第6會期：司法及法制委員會;,Chou Chun-Mi
立委37,林文瑞,國民黨,不分區,不分區,雲林,雲嘉,雲林,雲嘉,虎尾科技大學工業管理系,雲林科技大學環境與安全衛生研究所碩士,公務人員,2020/2/1,2024/1/31,,男,第10屆第1會期：內政委員會;第10屆第1會期：程序委員會;第10屆第1會期：經費稽核委員會;第10屆第2會期：內政委員會;第10屆第2會期：經費稽核委員會;第10屆第3會期：內政委員會;第10屆第4會期：內政委員會;第10屆第5會期：內政委員會;第10屆第6會期：內政委員會;第10屆第6會期：紀律委員會;第10屆第7會期：內政委員會;第10屆第8會期：內政委員會;,LinWen-Jui
立委33,林宜瑾,民進黨,臺南,南高屏,臺南,南高屏,臺南,南高屏,東吳大學社會學系,成功大學政治經濟學碩士,,2020/2/1,2024/1/31,連任,女,第10屆第1會期：教育及文化委員會;第10屆第2會期：教育及文化委員會;第10屆第3會期：教育及文化委員會;第10屆第4會期：教育及文化委員會;第10屆第5會期：教育及文化委員會;第10屆第6會期：教育及文化委員會;第10屆第7會期：教育及文化委員會;第10屆第8會期：教育及文化委員會;,Lin I-Chin
立委34,林岱樺,民進黨,高雄,南高屏,高雄,南高屏,高雄,南高屏,輔仁大學德文系,台北大學企管博士班,,2020/2/1,2024/1/31,連任,女,第10屆第1會期：經濟委員會;第10屆第2會期：經濟委員會;第10屆第3會期：經濟委員會;第10屆第4會期：經濟委員會;第10屆第5會期：經濟委員會;第10屆第6會期：經濟委員會;第10屆第7會期：經濟委員會;第10屆第8會期：經濟委員會;,Lin Tai-Hua
立委31,林俊憲,民進黨,臺南,南高屏,臺南,南高屏,臺南,南高屏,成功大學企業管理學系,臺灣大學國家發展研究所博士班,,2020/2/1,2024/1/31,連任,男,第10屆第1會期：交通委員會;第10屆第2會期：交通委員會;第10屆第3會期：交通委員會;第10屆第4會期：交通委員會;第10屆第5會期：交通委員會;第10屆第5會期：紀律委員會;第10屆第6會期：交通委員會;第10屆第7會期：交通委員會;第10屆第8會期：交通委員會;,Lin Chun-Hsien
立委32,林奕華,國民黨,不分區,不分區,臺北,基北桃,臺北,基北桃,臺灣大學政治學系學士公共行政組,賓州匹茲堡大學公共行政碩士,講師,2020/2/1,2023/2/3,辭職,女,第10屆第1會期：教育及文化委員會;第10屆第1會期：程序委員會;第10屆第2會期：程序委員會;第10屆第2會期：教育及文化委員會;第10屆第2會期：修憲委員會;第10屆第3會期：教育及文化委員會;第10屆第3會期：紀律委員會;第10屆第3會期：修憲委員會;第10屆第4會期：教育及文化委員會;第10屆第5會期：教育及文化委員會;第10屆第5會期：紀律委員會;第10屆第6會期：教育及文化委員會;,LinYi-Hua
立委36,林思銘,國民黨,新竹,竹苗,新竹,竹苗,新竹,竹苗,東吳大學法律學系,台灣大學PMLBA碩士班,律師,2020/2/1,2024/1/31,連任,男,第10屆第1會期：內政委員會;第10屆第2會期：內政委員會;第10屆第3會期：內政委員會;第10屆第3會期：紀律委員會;第10屆第4會期：內政委員會;第10屆第5會期：司法及法制委員會;第10屆第5會期：經費稽核委員會;第10屆第6會期：經費稽核委員會;第10屆第6會期：司法及法制委員會;第10屆第6會期：紀律委員會;第10屆第7會期：司法及法制委員會;第10屆第7會期：程序委員會;第10屆第8會期：程序委員會;第10屆第8會期：司法及法制委員會;,LinSzu-Ming
立委38,林昶佐,時代力量,臺北,基北桃,臺北,基北桃,臺北,基北桃,臺北大學企業管理學系,,主唱,2020/2/1,2024/1/31,吳沛憶,男,第10屆第1會期：外交及國防委員會;第10屆第2會期：外交及國防委員會;第10屆第2會期：修憲委員會;第10屆第3會期：外交及國防委員會;第10屆第3會期：修憲委員會;第10屆第4會期：外交及國防委員會;第10屆第5會期：外交及國防委員會;第10屆第6會期：外交及國防委員會;第10屆第7會期：外交及國防委員會;第10屆第8會期：外交及國防委員會;,LimTshiong-Tso
立委41,林為洲,國民黨,新竹,竹苗,新竹,竹苗,新竹,竹苗,中央大學中國文學系,,,2020/2/1,2024/1/31,徐欣瑩,男,第10屆第1會期：司法及法制委員會;第10屆第1會期：程序委員會;第10屆第2會期：程序委員會;第10屆第2會期：修憲委員會;第10屆第3會期：內政委員會;第10屆第3會期：修憲委員會;第10屆第4會期：內政委員會;第10屆第5會期：社會福利及衛生環境委員會;第10屆第5會期：紀律委員會;第10屆第6會期：社會福利及衛生環境委員會;第10屆第7會期：社會福利及衛生環境委員會;第10屆第8會期：社會福利及衛生環境委員會;,Lin Wei-Chou
立委40,林淑芬,民進黨,新北,基北桃,新北,基北桃,彰化,中彰投,中興大學法商學院社會學系,世新大學社會發展研究所,,2020/2/1,2024/1/31,連任,女,第10屆第1會期：社會福利及衛生環境委員會;第10屆第2會期：社會福利及衛生環境委員會;第10屆第3會期：外交及國防委員會;第10屆第4會期：外交及國防委員會;第10屆第5會期：外交及國防委員會;第10屆第6會期：外交及國防委員會;第10屆第7會期：司法及法制委員會;第10屆第8會期：司法及法制委員會;,Lin Shu-Fen
立委39,林楚茵,民進黨,不分區,不分區,新北,基北桃,新北,基北桃,東吳大學政治系,,節目主持人,2020/2/1,2024/1/31,連任,女,第10屆第1會期：財政委員會;第10屆第1會期：程序委員會;第10屆第2會期：程序委員會;第10屆第2會期：財政委員會;第10屆第3會期：財政委員會;第10屆第3會期：程序委員會;第10屆第3會期：經費稽核委員會;第10屆第4會期：經費稽核委員會;第10屆第4會期：程序委員會;第10屆第4會期：財政委員會;第10屆第5會期：財政委員會;第10屆第5會期：程序委員會;第10屆第6會期：程序委員會;第10屆第6會期：財政委員會;第10屆第7會期：程序委員會;第10屆第7會期：財政委員會;第10屆第8會期：程序委員會;第10屆第8會期：財政委員會;,LinChu-Yin
立委35,林德福,國民黨,新北,基北桃,新北,基北桃,新北,基北桃,,,,2022/1/17,2024/1/31,連任,男,第10屆第4會期：外交及國防委員會;第10屆第5會期：外交及國防委員會;第10屆第6會期：外交及國防委員會;第10屆第7會期：外交及國防委員會;第10屆第8會期：外交及國防委員會;,LinDe-Fu
立委43,林靜儀,民進黨,臺中,中彰投,臺中,中彰投,臺中,中彰投,中山醫學大學醫學系,中山醫學大學醫學研究所博士,醫師,2020/2/1,2024/1/31,顏寬恆,女,第10屆第1會期：經濟委員會;第10屆第2會期：經濟委員會;第10屆第2會期：交通委員會;第10屆第3會期：交通委員會;第10屆第3會期：紀律委員會;第10屆第4會期：交通委員會;第10屆第5會期：外交及國防委員會;第10屆第6會期：外交及國防委員會;第10屆第7會期：外交及國防委員會;第10屆第8會期：外交及國防委員會;,Ching-Yi Lin
立委89,邱臣遠,民眾黨,不分區,不分區,新北,基北桃,新北,基北桃,景文科技大學企業管理學系,銘傳大學國際企業學系碩士,臺商,2020/2/1,2024/1/31,,男,第10屆第1會期：經濟委員會;第10屆第2會期：經濟委員會;第10屆第2會期：修憲委員會;第10屆第3會期：經濟委員會;第10屆第3會期：修憲委員會;第10屆第4會期：經濟委員會;第10屆第5會期：經濟委員會;第10屆第5會期：紀律委員會;第10屆第5會期：經費稽核委員會;第10屆第6會期：經費稽核委員會;第10屆第6會期：經濟委員會;第10屆第7會期：經濟委員會;第10屆第7會期：經費稽核委員會;第10屆第8會期：經濟委員會;第10屆第8會期：經費稽核委員會;,ChiuChen-Yuan
立委87,邱志偉,民進黨,高雄,南高屏,高雄,南高屏,高雄,南高屏,淡江大學俄語系,國立中山大學大陸研究所博士,教授,2020/2/1,2024/1/31,連任,男,第10屆第1會期：社會福利及衛生環境委員會;第10屆第1會期：程序委員會;第10屆第1會期：紀律委員會;第10屆第2會期：程序委員會;第10屆第2會期：社會福利及衛生環境委員會;第10屆第3會期：社會福利及衛生環境委員會;第10屆第3會期：程序委員會;第10屆第4會期：程序委員會;第10屆第4會期：社會福利及衛生環境委員會;第10屆第5會期：社會福利及衛生環境委員會;第10屆第5會期：程序委員會;第10屆第6會期：程序委員會;第10屆第6會期：社會福利及衛生環境委員會;第10屆第6會期：紀律委員會;第10屆第7會期：社會福利及衛生環境委員會;第10屆第7會期：程序委員會;第10屆第8會期：程序委員會;第10屆第8會期：社會福利及衛生環境委員會;,Chiu Chih-Wei
立委88,邱泰源,民進黨,不分區,不分區,嘉義,雲嘉,嘉義,雲嘉,中國醫藥學院醫學系,東京大學醫學研究所碩士,教授,2020/2/1,2024/1/31,,男,第10屆第1會期：經濟委員會;第10屆第1會期：紀律委員會;第10屆第2會期：經濟委員會;第10屆第3會期：經濟委員會;第10屆第4會期：經濟委員會;第10屆第5會期：經濟委員會;第10屆第6會期：經濟委員會;第10屆第7會期：經濟委員會;第10屆第8會期：經濟委員會;,Chiu Tai-Yuan
立委90,邱議瑩,民進黨,高雄,南高屏,高雄,南高屏,屏東,南高屏,羅倫馬賓商業學院,加利福尼亞多明尼克大學碩士,,2020/2/1,2024/1/31,連任,女,第10屆第1會期：交通委員會;第10屆第2會期：修憲委員會;第10屆第3會期：內政委員會;第10屆第3會期：程序委員會;第10屆第3會期：修憲委員會;第10屆第4會期：程序委員會;第10屆第4會期：內政委員會;第10屆第5會期：經濟委員會;第10屆第5會期：程序委員會;第10屆第6會期：程序委員會;第10屆第6會期：經濟委員會;第10屆第7會期：程序委員會;第10屆第7會期：交通委員會;第10屆第8會期：交通委員會;,Chiu Yi-Ying
立委91,邱顯智,時代力量,不分區,不分區,新竹,竹苗,嘉義,雲嘉,臺北大學法律系,德國海德堡大學法學博士,律師,2020/2/1,2024/1/31,,男,第10屆第1會期：司法及法制委員會;第10屆第2會期：司法及法制委員會;第10屆第3會期：司法及法制委員會;第10屆第4會期：司法及法制委員會;第10屆第5會期：司法及法制委員會;第10屆第6會期：司法及法制委員會;第10屆第7會期：司法及法制委員會;第10屆第8會期：司法及法制委員會;,ChiuHsien-Chih
立委44,柯建銘,民進黨,不分區,不分區,新竹,竹苗,新竹,竹苗,中山醫學院牙醫學系,中山醫學院牙醫學系,醫師,2020/2/1,2024/1/31,連任,男,第10屆第1會期：社會福利及衛生環境委員會;第10屆第1會期：程序委員會;第10屆第2會期：程序委員會;第10屆第2會期：社會福利及衛生環境委員會;第10屆第3會期：社會福利及衛生環境委員會;第10屆第3會期：程序委員會;第10屆第4會期：程序委員會;第10屆第4會期：社會福利及衛生環境委員會;第10屆第5會期：社會福利及衛生環境委員會;第10屆第5會期：程序委員會;第10屆第6會期：程序委員會;第10屆第6會期：社會福利及衛生環境委員會;第10屆第7會期：社會福利及衛生環境委員會;第10屆第7會期：程序委員會;第10屆第8會期：程序委員會;第10屆第8會期：社會福利及衛生環境委員會;,KerChien-Ming
立委51,洪申翰,民進黨,不分區,不分區,臺北,基北桃,臺北,基北桃,台灣大學大氣科學系,,,2020/2/1,2024/1/31,連任,男,第10屆第1會期：交通委員會;第10屆第2會期：交通委員會;第10屆第3會期：交通委員會;第10屆第4會期：交通委員會;第10屆第5會期：交通委員會;第10屆第5會期：紀律委員會;第10屆第6會期：交通委員會;第10屆第7會期：交通委員會;第10屆第8會期：交通委員會;,HUNGSUN-HAN
立委50,洪孟楷,國民黨,新北,基北桃,新北,基北桃,臺北,基北桃,元智大學企業管理學系,美國南加州大學國際公共政策及管理碩士,,2020/2/1,2024/1/31,連任,男,第10屆第1會期：教育及文化委員會;第10屆第1會期：程序委員會;第10屆第1會期：經費稽核委員會;第10屆第2會期：程序委員會;第10屆第2會期：教育及文化委員會;第10屆第2會期：修憲委員會;第10屆第2會期：經費稽核委員會;第10屆第3會期：教育及文化委員會;第10屆第3會期：程序委員會;第10屆第3會期：修憲委員會;第10屆第4會期：程序委員會;第10屆第4會期：教育及文化委員會;第10屆第5會期：教育及文化委員會;第10屆第5會期：程序委員會;第10屆第6會期：程序委員會;第10屆第6會期：教育及文化委員會;第10屆第7會期：程序委員會;第10屆第7會期：教育及文化委員會;第10屆第8會期：程序委員會;第10屆第8會期：教育及文化委員會;,HungMong-Kai
立委64,范雲,民進黨,不分區,不分區,臺北,基北桃,新北,基北桃,臺灣大學社會學系,耶魯大學社會學博士,教授,2020/2/1,2024/1/31,連任,女,第10屆第1會期：社會福利及衛生環境委員會;第10屆第2會期：社會福利及衛生環境委員會;第10屆第3會期：社會福利及衛生環境委員會;第10屆第4會期：社會福利及衛生環境委員會;第10屆第5會期：社會福利及衛生環境委員會;第10屆第6會期：社會福利及衛生環境委員會;第10屆第7會期：社會福利及衛生環境委員會;第10屆第8會期：社會福利及衛生環境委員會;,Fan Yun
立委26,徐志榮,國民黨,苗栗,竹苗,苗栗,竹苗,苗栗,竹苗,,,,2020/2/1,2024/1/31,邱鎮軍,男,第10屆第1會期：經濟委員會;第10屆第1會期：經費稽核委員會;第10屆第2會期：經濟委員會;第10屆第2會期：經費稽核委員會;第10屆第2會期：司法及法制委員會;第10屆第3會期：司法及法制委員會;第10屆第3會期：經費稽核委員會;第10屆第4會期：司法及法制委員會;第10屆第4會期：經費稽核委員會;第10屆第5會期：內政委員會;第10屆第5會期：經費稽核委員會;第10屆第6會期：經費稽核委員會;第10屆第6會期：內政委員會;第10屆第7會期：經濟委員會;第10屆第8會期：經濟委員會;,Hsu Chih-Jung
立委63,翁重鈞,國民黨,不分區,不分區,嘉義,雲嘉,臺南,南高屏,中國文化大學新聞系,臺灣大學會計學研究所,講師,2020/2/1,2024/1/31,,男,第10屆第1會期：外交及國防委員會;第10屆第2會期：外交及國防委員會;第10屆第3會期：外交及國防委員會;第10屆第4會期：外交及國防委員會;第10屆第5會期：外交及國防委員會;第10屆第6會期：外交及國防委員會;第10屆第6會期：紀律委員會;第10屆第7會期：外交及國防委員會;第10屆第8會期：外交及國防委員會;,Wong Chung-Chun
立委114,馬文君,國民黨,南投,中彰投,南投,中彰投,南投,中彰投,嘉南藥學專科學校藥理科,逢甲大學經營管理碩士,,2020/2/1,2024/1/31,連任,女,第10屆第1會期：教育及文化委員會;第10屆第1會期：紀律委員會;第10屆第2會期：教育及文化委員會;第10屆第3會期：教育及文化委員會;第10屆第4會期：教育及文化委員會;第10屆第5會期：教育及文化委員會;第10屆第6會期：教育及文化委員會;第10屆第7會期：教育及文化委員會;第10屆第8會期：教育及文化委員會;,MaWen-Chun
